tag, link
G11CS, https://github.com/DLRC-CS-Club/dlrc-street-view/blob/main/qrcodes/G11CS
G09FTF, https://github.com/DLRC-CS-Club/dlrc-street-view/blob/main/qrcodes/G09FTF
